Shot ID,Shots Since Up To Air,Shots Since Li GUN Coat,Shots Since Li POT Coat,Graph (20913)
2631,"5000","5000","5000","1"
2632,"5000","5000","5000","1"
2633,"5000","5000","5000","1"
2634,"5000","5000","5000","1"
2635,"5000","5000","5000","1"
2636,"5000","5000","5000","1"
2637,"5000","5000","5000","1"
2638,"5000","5000","5000","1"
2639,"5000","5000","5000","1"
2640,"5000","5000","5000","1"
2641,"5000","5000","5000","1"
2642,"5000","5000","5000","1"
2643,"5000","5000","5000","1"
2644,"5000","5000","5000","1"
2645,"5000","5000","5000","1"
2646,"5000","5000","5000","1"
2647,"5000","5000","5000","1"
2648,"5000","5000","5000","1"
2649,"5000","5000","5000","1"
2650,"5000","5000","5000","1"
2651,"5000","5000","5000","1"
2652,"5000","5000","5000","1"
2653,"5000","5000","5000","1"
2654,"5000","5000","5000","1"
2655,"5000","5000","5000","1"
2656,"5000","5000","5000","1"
2657,"5000","5000","5000","1"
2658,"5000","5000","5000","1"
2659,"5000","5000","5000","1"
2660,"5000","5000","5000","1"
2661,"5000","5000","5000","1"
2662,"5000","5000","5000","1"
2663,"5000","5000","5000","1"
2664,"5000","5000","5000","1"
2665,"5000","5000","5000","1"
2666,"5000","5000","5000","1"
2667,"5000","5000","5000","1"
2668,"5000","5000","5000","1"
2669,"5000","5000","5000","1"
2670,"5000","5000","5000","1"
2671,"5000","5000","5000","1"
2672,"5000","5000","5000","1"
2673,"5000","5000","5000","1"
2674,"5000","5000","5000","1"
2675,"5000","5000","5000","1"
2676,"5000","5000","5000","1"
2677,"5000","5000","5000","1"
2678,"5000","5000","5000","1"
2679,"5000","5000","5000","1"
2680,"5000","5000","5000","1"
2681,"5000","5000","5000","1"
2682,"5000","5000","5000","1"
2683,"5000","5000","5000","1"
2684,"5000","5000","5000","1"
2685,"5000","5000","5000","1"
2686,"5000","5000","5000","1"
2687,"5000","5000","5000","1"
2688,"5000","5000","5000","1"
2689,"5000","5000","5000","1"
2690,"5000","5000","5000","1"
2691,"5000","5000","5000","1"
2692,"5000","5000","5000","1"
2693,"5000","5000","5000","1"
2694,"5000","5000","5000","1"
2695,"5000","5000","5000","1"
2696,"5000","5000","5000","1"
2697,"5000","5000","5000","1"
2699,"5000","5000","5000","1"
2700,"5000","5000","5000","1"
2701,"5000","5000","5000","1"
2702,"5000","5000","5000","1"
2703,"5000","5000","5000","1"
2704,"5000","5000","5000","1"
2705,"5000","5000","5000","1"
2706,"5000","5000","5000","1"
2707,"5000","5000","5000","1"
2708,"5000","5000","5000","1"
2709,"5000","5000","5000","1"
2710,"5000","5000","5000","1"
2711,"5000","5000","5000","1"
2712,"5000","5000","5000","1"
2713,"5000","5000","5000","1"
2714,"5000","5000","5000","1"
2715,"5000","5000","5000","1"
2716,"5000","5000","5000","1"
2717,"5000","5000","5000","1"
2718,"5000","5000","5000","1"
2719,"5000","5000","5000","1"
2720,"5000","5000","5000","1"
2721,"0","5000","5000","1"
2722,"0","5000","5000","1"
2723,"0","5000","5000","1"
2724,"1","5000","5000","1"
2725,"2","5000","5000","1"
2726,"3","5000","5000","1"
2727,"4","5000","5000","1"
2728,"4","5000","5000","1"
2729,"4","5000","5000","1"
2730,"5","5000","5000","1"
2731,"6","5000","5000","1"
2732,"7","5000","5000","1"
2733,"8","5000","5000","1"
2734,"9","5000","5000","1"
2735,"10","5000","5000","1"
2736,"11","5000","5000","1"
2737,"12","5000","5000","1"
2738,"13","5000","5000","1"
2739,"14","5000","5000","1"
2740,"15","5000","5000","1"
2741,"16","5000","5000","1"
2742,"17","5000","5000","1"
2743,"18","5000","5000","1"
2744,"19","5000","5000","1"
2745,"20","5000","5000","1"
2746,"21","5000","5000","1"
2747,"21","5000","5000","1"
2748,"22","5000","5000","1"
2749,"23","5000","5000","1"
2750,"24","5000","5000","1"
2751,"25","5000","5000","1"
2752,"26","5000","5000","1"
2753,"27","5000","5000","1"
2754,"28","5000","5000","1"
2755,"29","5000","5000","1"
2756,"30","5000","5000","1"
2757,"31","5000","5000","1"
2758,"32","5000","5000","1"
2759,"33","5000","5000","1"
2760,"34","5000","5000","1"
2761,"35","5000","5000","1"
