System,Experiment,Shot ID,Sustainment Setpoint (kV),Graph (20913)
Pi 3,"pi3b (Pi3 spherical build)","2286","","1"
Pi 3,"pi3b (Pi3 spherical build)","2287","","1"
Pi 3,"pi3b (Pi3 spherical build)","2288","","1"
Pi 3,"pi3b (Pi3 spherical build)","2289","","1"
Pi 3,"pi3b (Pi3 spherical build)","2290","","1"
Pi 3,"pi3b (Pi3 spherical build)","2291","","1"
Pi 3,"pi3b (Pi3 spherical build)","2292","","1"
Pi 3,"pi3b (Pi3 spherical build)","2293","","1"
Pi 3,"pi3b (Pi3 spherical build)","2294","","1"
Pi 3,"pi3b (Pi3 spherical build)","2295","","1"
Pi 3,"pi3b (Pi3 spherical build)","2296","","1"
Pi 3,"pi3b (Pi3 spherical build)","2297","","1"
Pi 3,"pi3b (Pi3 spherical build)","2298","","1"
Pi 3,"pi3b (Pi3 spherical build)","2299","","1"
Pi 3,"pi3b (Pi3 spherical build)","2300","","1"
Pi 3,"pi3b (Pi3 spherical build)","2301","","1"
Pi 3,"pi3b (Pi3 spherical build)","2302","","1"
Pi 3,"pi3b (Pi3 spherical build)","2303","","1"
Pi 3,"pi3b (Pi3 spherical build)","2304","","1"
Pi 3,"pi3b (Pi3 spherical build)","2305","","1"
Pi 3,"pi3b (Pi3 spherical build)","2306","","1"
Pi 3,"pi3b (Pi3 spherical build)","2307","","1"
Pi 3,"pi3b (Pi3 spherical build)","2308","","1"
Pi 3,"pi3b (Pi3 spherical build)","2309","","1"
Pi 3,"pi3b (Pi3 spherical build)","2310","","1"
Pi 3,"pi3b (Pi3 spherical build)","2311","","1"
Pi 3,"pi3b (Pi3 spherical build)","2312","","1"
Pi 3,"pi3b (Pi3 spherical build)","2313","","1"
Pi 3,"pi3b (Pi3 spherical build)","2314","","1"
Pi 3,"pi3b (Pi3 spherical build)","2315","","1"
Pi 3,"pi3b (Pi3 spherical build)","2316","","1"
Pi 3,"pi3b (Pi3 spherical build)","2317","","1"
Pi 3,"pi3b (Pi3 spherical build)","2318","","1"
Pi 3,"pi3b (Pi3 spherical build)","2319","","1"
Pi 3,"pi3b (Pi3 spherical build)","2320","","1"
